ID,WBS,작업이름,기간,시작,완료,선행작업
0,,,1186d,26-01-01,29-03-31,
1,*,MILE STONE,711d,27-04-20,29-03-31,
2,*.1,터파기완료,0d,27-04-20,27-04-20,16
3,*.2,지하층 골조완료,0d,27-07-17,27-07-17,29
4,*.3,지상층 골조완료,0d,28-07-24,28-07-24,43
5,*.4,준공,0d,29-03-31,29-03-31,47
6,*,공통가설,20d,26-01-01,26-01-20,
7,*,토공,501d,26-01-21,27-06-05,
8,*.1,CIP,85d,26-01-21,26-04-15,6
9,*.2,RPD,78d,26-04-16,26-07-02,8
10,*.16,터파기,292d,26-07-03,27-04-20,
11,*.16.1,"1차굴토 (1F SL- 6.0M, 25800M3 / 1000M3 / 0.7 = 37일) ",37d,26-07-03,26-08-08,9
12,*.16.2,"2차굴토 (1F SL- 9.2M, 12900M3 / 400M3 / 0.7 = 46일)",46d,26-09-14,26-10-29,25
13,*.16.3,"3차굴토 (1F SL- 11.3M, 9890M3 / 400M3 / 0.7 = 35일)",30d,26-11-19,26-12-18,18
14,*.16.4,"4차굴토 (1F SL- 14.1M, 12040M3 / 400M3 / 0.7 = 43일)",43d,27-01-17,27-02-28,28
15,*.16.5,"5차굴토 (1F SL- 16.5M 기계실구간, 1240M3 / 400M3 / 0.7 = 5일 )",5d,27-03-30,27-04-03,31
16,*.16.7,잔여굴토 (FINAL),7d,27-04-14,27-04-20,20
17,*.15,가시설,219d,26-10-30,27-06-05,
18,*.15.1,1F SL- 역레이커 설치,20d,26-10-30,26-11-18,12
19,*.15.2,1F SL- 역레이커 해체,10d,27-01-17,27-01-26,28
20,*.15.3,B3F PIT 역레이커 설치,10d,27-04-04,27-04-13,15
21,*.15.4,B3F PIT 역레이커 해체,10d,27-05-27,27-06-05,33
22,*,골조,716d,26-08-09,28-07-24,
23,*.1,지하층,343d,26-08-09,27-07-17,
24,*.1.1,B1F,200d,26-08-09,27-02-24,
25,*.1.1.1,1F 바닥,36d,26-08-09,26-09-13,11
26,*.1.1.2,B1F 수직재,29d,27-01-27,27-02-24,19
27,*.1.2,B2F,211d,26-12-19,27-07-17,
28,*.1.2.1,B1F 바닥,29d,26-12-19,27-01-16,13
29,*.1.2.2,B2F 수직재,21d,27-06-27,27-07-17,32
30,*.1.3,B3F,118d,27-03-01,27-06-26,
31,*.1.3.1,B2F 바닥,29d,27-03-01,27-03-29,14
32,*.1.3.2,B3F 수직재,21d,27-06-06,27-06-26,21
33,*.1.5,기초,36d,27-04-21,27-05-26,16
34,*.7,지상층,516d,27-02-25,28-07-24,
35,*.7.1,1F,38d,27-02-25,27-04-03,26
36,*.7.2,2F,30d,27-04-04,27-05-03,35
37,*.7.3,3F+전이MAT,76d,27-05-04,27-07-18,36
38,*.7.4,PIT층,21d,27-07-19,27-08-08,37
39,*.7.5,4F (세팅층),21d,27-08-09,27-08-29,"38,29"
40,*.7.6,5~27F (기준층) / (23개층 * 8일 / 0.7),279d,27-08-30,28-06-03,39
41,*.7.7,28F (최상층),21d,28-06-04,28-06-24,40
42,*.7.8,옥탑 1F,15d,28-06-25,28-07-09,41
43,*.7.9,옥탑 2F,15d,28-07-10,28-07-24,42
44,*,내부마감,500d,27-10-19,29-03-01,43FF+220d
45,*,외부마감 ,140d,28-07-25,28-12-11,43
46,*,옥외공사 ,180d,28-07-25,29-01-20,43
47,*,준공준비,30d,29-03-02,29-03-31,44
